,楼盘名称,楼盘价格,楼盘位置,楼盘户型,link,longitude,latitude
34,['滨江学府'],6700,平江西路南（客运站边）,"['居室(1)', '一居室(2)', '二居室(3)']",https://wh.fang.lianjia.com//loupan/p_dggjgcaacyg/,114.568968,30.66225218
35,['欣隆湖滨半岛'],价格待定,余泊路8号（界埠中心小学旁）,"['三居室(7)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_xlhbbdaacyo/,114.5767801,30.70656683
36,['金色港湾MIMI空间'],9200,东风大道与车城大道交汇处,['一居室(1)'],https://wh.fang.lianjia.com//loupan/p_jsgwmkjabebs/,114.1592674,30.49017192
37,['新阳广场'],14000,四新大道与汉城路交汇处（地铁3号线四新大道站A出口）,"['二居室(2)', '三居室(1)']",https://wh.fang.lianjia.com//loupan/p_xygcabeqj/,114.2012265,30.54167999
38,['海伦国际'],85.05-114.45,武东中路（武东中学附近）,"['二居室(1)', '三居室(3)']",https://wh.fang.lianjia.com//loupan/p_hlgjabeqz/,114.4745418,30.58763517
39,['武汉软件新城'],7000,花城大道与常家山路交汇处（花城大道9号）,[],https://wh.fang.lianjia.com//loupan/p_whrjxcabfoc/,114.4909781,30.56409314
40,['华中智谷'],16500,芙蓉路1号,[],https://wh.fang.lianjia.com//loupan/p_hzzgabfol/,114.2084018,30.51371372
41,['中国铁建1818中心'],26000,中北路109号,[],https://wh.fang.lianjia.com//loupan/p_zgtj1818zxabfrl/,114.3456723,30.55894518
42,['联投中心'],36000,临江大道387号,"['四居室(1)', '五居室(1)', '六居室(1)']",https://wh.fang.lianjia.com//loupan/p_ltzxabhfm/,114.3210727,30.58046752
43,['武汉雅居乐花园'],10000,庙山开发区庙山一路与沿湖路交汇处,"['二居室(5)', '三居室(10)', '四居室(4)']",https://wh.fang.lianjia.com//loupan/p_whyjlhyabhhf/,114.3835325,30.40837748
44,['三和名仕城'],9000,汤家台特1号,['三居室(4)'],https://wh.fang.lianjia.com//loupan/p_shmscabipy/,114.3115816,30.59846674
